Service Area,Designation,Total Score,Travel Time to Nearest PCPCH,Primary Care  Capacity Ratio,"Dentists per 1,000","Mental Health Providers per 1,000",138-200% of Federal Poverty Level,Inadequate Prenatal Care Rate,"Preventable Hospitalizations per 1,000","Emergency Dept Dental Visits per 1,000","Emergency Dept Mental Health Visits per 1,000",2025 Population,County,Hospital,RHC,FQHC
Sandy,Rural,57,10,0.26,0.21,0.38,6%,59.0,5.4,1.8,10.8,46263,CLACKAMAS,,1,2
Springfield,Urban,57,10,1.68,0.33,0.64,10%,63.3,7.3,5.6,19.2,77449,LANE,2,,3
Roseburg,Rural,58,10,1.25,0.52,1.47,13%,40.5,6.5,5.1,18.3,54471,DOUGLAS,1,3,4
Salem North,Urban,58,10,0.57,0.46,0.63,11%,53.0,7.2,2.9,14.5,120878,MARION,,,4
The Dalles,Rural,58,10,1.27,0.48,0.75,13%,41.1,8.1,4.5,17.6,24350,WASCO,1,4,3
Canby,Rural,59,10,0.56,0.37,0.48,10%,63.2,5.9,1.6,11.6,27834,CLACKAMAS,,,1
Milwaukie,Urban,59,10,0.49,0.54,1.43,9%,48.0,7.7,3.6,19.4,77843,CLACKAMAS,1,,2
Salem South,Urban,59,10,1.35,0.59,2.07,12%,56.4,7.8,3.5,20.1,172116,MARION,1,1,2
Albany,Urban,60,10,0.71,0.39,0.67,10%,43.4,6.5,3.4,13.9,78994,LINN,1,,1
Ashland,Rural,60,10,1.18,0.45,2.36,10%,84.0,5.3,3.7,21.4,25366,JACKSON,1,,3
Wallowa/Enterprise,Remote,60,10,1.65,0.70,0.78,16%,45.3,10.2,3.2,11.1,7644,WALLOWA,1,4,5
Eugene South,Urban,62,10,0.22,0.45,1.05,8%,59.3,4.4,2.5,11.9,57868,LANE,,,
Portland SE,Urban,63,10,0.42,0.38,2.84,8%,45.5,4.8,2.0,14.5,134920,MULTNOMAH,,,10
Newberg,Rural,64,10,1.14,0.41,1.10,9%,44.3,5.6,3.2,11.7,37309,YAMHILL,1,,1
Portland North,Urban,64,10,2.15,0.31,2.12,8%,65.3,6.5,3.2,20.4,74289,MULTNOMAH,1,,7
Hillsboro/Forest Grove,Urban,65,10,1.22,0.51,0.88,9%,54.1,5.4,2.2,13.3,167147,WASHINGTON,2,,7
Corvallis/Philomath,Urban,66,10,1.34,0.45,1.89,10%,41.3,4.3,1.9,15.1,82788,BENTON,1,,2
Silverton/Mt. Angel,Rural,66,10,1.19,0.32,0.71,10%,33.1,5.5,2.4,8.9,22182,MARION,1,2,
Sisters,Rural,66,10,0.45,0.45,1.37,5%,63.6,4.8,1.5,10.4,8697,DESCHUTES,,,1
Beaverton,Urban,67,10,1.27,0.67,1.35,8%,55.4,4.8,1.9,14.3,227523,WASHINGTON,1,,2
Portland NW,Urban,67,10,1.15,0.47,1.59,4%,53.8,5.0,2.3,24.2,115586,MULTNOMAH,1,,8
Eugene/University,Urban,68,10,1.84,0.86,5.08,11%,62.0,5.1,3.6,24.4,77002,LANE,,,5
Hood River,Rural,68,10,1.80,0.88,1.42,12%,35.7,5.2,2.2,11.2,22390,HOOD RIVER,1,2,1
Bend,Urban,69,10,1.36,0.68,2.21,9%,66.1,4.4,2.1,11.8,142514,DESCHUTES,1,,4
Oregon City,Urban,70,10,2.08,0.79,1.73,8%,60.1,5.8,2.4,15.4,119973,CLACKAMAS,2,,5
Portland NE,Urban,71,10,1.88,0.56,3.77,7%,55.8,5.6,2.6,18.2,116434,MULTNOMAH,1,,5
Lake Oswego,Urban,72,10,0.58,0.67,1.72,5%,32.8,3.8,1.1,9.6,104283,CLACKAMAS,,,
Tigard,Urban,72,10,1.20,0.68,1.33,5%,46.9,4.6,1.7,11.9,143750,WASHINGTON,1,,
Portland SW,Urban,78,10,2.38,1.07,5.75,6%,41.2,5.3,1.8,19.6,96790,MULTNOMAH,2,,7
